cohort_obs_dt,segment_calibration,consolidated_id,default_first_in_12M_dt,pd_model_class,pd_model_pct,pd_decided_class,pd_decided_pct,issued_or_outstanding_amt_EUR,granted_amt_EUR,EaD_amt_EUR,RWA_amt_EUR,default_flg,Validation_sample
12/31/2021,CORP,87350619,,4,0.0074,4,0.0074,477497.4,533585.7,519563.6,229256.08,0,1
12/31/2021,CORP,58655707,,6,0.0226,6,0.0226,3,3300,2475.75,2185.9388,0,1
12/31/2021,CORP,95660992,,3,0.002299,3,0.002299,0,200000,150000,60110.8,0,1
12/31/2021,CORP,84131549,,3,0.002299,2,0.0014,0,2865000,2148750,,0,1
12/31/2021,CORP,88193896,,9,0.4735,9,0.4735,3328315,3331047.01,3330364.01,5767208.602,0,1
12/31/2021,CORP,78968416,,3,0.0028,3,0.0028,105370.97,110000,107685.48,43325.835,0,1
12/31/2021,CORP,72585025,,6,0.0263,6,0.0263,500809,515809,512059,353853.06,0,1
12/31/2021,CORP,95087194,,4,0.0043,4,0.0043,0,99581.8,74686.3,42063.3,0,1
12/31/2021,CORP,17790675,,5,0.0089,5,0.0089,0,250000.43,124999.72,133242,0,1
12/31/2021,CORP,60004726,,6,0.0226,6,0.0226,2169611,2288003,2258404.9,2331108.4,0,1
12/31/2021,CORP,32793421,,3,0.00212,3,0.00212,425570,425570,425570,172233,0,1
12/31/2021,CORP,40181100,,7,0.036358,7,0.036358,799549,940000,904887.4,957908.5,0,1
12/31/2021,CORP,22287372,,6,0.0302,6,0.0302,192821,200009.18,198212.13,157172.9,0,1
12/31/2021,CORP,59385292,,4,0.0067,4,0.0067,50459.4,150002.2,125116.5,70465.5,0,1
12/31/2021,CORP,66804358,,3,0.002946,3,0.002946,1406590.7,1406590.7,1406590.7,662805.7,0,1
12/31/2021,CORP,63879713,,4,0.0067,4,0.0067,0,110000,82500,46463.9,0,1
12/31/2021,CORP,22649651,,9,0.3416,9,0.3416,58676.34,58676.34,58676.34,80863.0809,0,1
12/31/2021,CORP,81097523,,5,0.0159,5,0.0159,215752,345752,313252,235479.1,0,1
12/31/2021,CORP,71303987,,6,0.0184,6,0.0184,929459.17,962309.8,954097.14,588780.52,0,1
12/31/2021,CORP,88662093,,3,0.0021,3,0.0021,145750,245750,220750,81784,0,1
12/31/2021,CORP,25840100,,5,0.014,5,0.014,457512,800009,714385,536881,0,1
12/31/2021,CORP,67279000,,5,0.0113,5,0.0113,56061.7,56061.7,56061.7,31825.1,0,1
12/31/2021,CORP,24392957,,6,0.0222,6,0.0222,247267,300011.2,286825.2,253248.4,0,1
12/31/2021,CORP,92185870,,9,0.181,8,0.0905,3000408.03,3000408.03,3000408.03,6356030.562,0,1
12/31/2021,CORP,25163013,,4,0.0056,5,0.0113,6.78,560006.78,420006.78,306551.6485,0,1
12/31/2021,CORP,28107297,,2,0.001825,2,0.001825,7834980,10834980,10084980,4133525,0,1
12/31/2021,CORP,84193497,,4,0.0044,4,0.0044,0,300000,225000,129823,0,1
12/31/2021,CORP,63713015,,4,0.0067,4,0.0067,239808.76,299999.96,78057.32,0,0,1
12/31/2021,CORP,22161756,,4,0.0057,4,0.0057,0,1500000,843750,447868.1,0,1
12/31/2021,CORP,85916397,,6,0.020298,7,0.0453,7887282.3,8109610.3,8054028.3,13307951,0,1
12/31/2021,CORP,42940055,,3,0.0021,3,0.0021,0,400000,300000,120593,0,1
12/31/2021,CORP,13958187,,2,0.0014,3,0.0028,0,300000,225000,90166.2,0,1
12/31/2021,CORP,45507645,,7,0.0453,9,0.181,9568080,9968080,9868080,26185983,0,1
12/31/2021,CORP,34251292,,5,0.0092,5,0.0092,1391343.3,1542992.3,1505080.3,933678.9,0,1
12/31/2021,CORP,58567031,,4,0.004982,4,0.004982,954781.78,1269832.48,1176069.58,580590.396,0,1
12/31/2021,CORP,44683016,,6,0.0226,6,0.0226,4487520,12625050,10590670,14330310,0,1
12/31/2021,CORP,24307395,,5,0.0123,5,0.0123,500240,818240,738740,544145.91,0,1
12/31/2021,CORP,20194412,,6,0.0221,6,0.0221,1341480,1839480,1714980,1177731,0,1
12/31/2021,CORP,77555147,,2,0.0014,3,0.0028,142927,149999.95,148231.71,59402.2,0,1
12/31/2021,CORP,78629309,,4,0.0057,4,0.0057,3449593,3784194,3700544,1954289,0,1
12/31/2021,CORP,11589686,,4,0.0043,7,0.0453,50615.1,100004.1,87656.8,92377.2,0,1
12/31/2021,CORP,99984379,,4,0.0042,4,0.0042,4351485.75,9181333.9,7973871.86,4940317.149,0,1
12/31/2021,CORP,71078753,,7,0.0436,7,0.0436,10000,75000,15000,15807.8,0,1
12/31/2021,CORP,77737055,,5,0.0093,7,0.0453,46529.4,100003.2,86634.8,91300.1,0,1
12/31/2021,CORP,18321557,,5,0.011152,3,0.0028,15113300,24667576,22279002,,0,1
12/31/2021,CORP,13263864,,3,0.0039,3,0.0039,0,100000,75000,26940.3,0,1
12/31/2021,CORP,25304737,,9,0.3758,9,0.3758,207346,207346,207346,285729,0,1
12/31/2021,CORP,28515363,,,,8,0.0905,65760.8,165006,140194.7,170963,0,0
12/31/2021,CORP,52541437,,4,0.0059,4,0.0059,1988180,2461366,2343069,1319617.7,0,1
12/31/2021,CORP,81854971,,4,0.0049,4,0.0049,0,160000,120000,52565.2,0,1
12/31/2021,CORP,43227982,,5,0.0089,6,0.0226,402260,402260,402260,276244.3,0,1
12/31/2021,CORP,31853540,,7,0.0348,7,0.0348,625367,631255.13,629783.1,558657.61,0,1
